Date,Name,Average_Price_SA
1995-01-01,Barking And Dagenham,70551.424969990796
1995-01-01,Barnet,100094.44290373514
1995-01-01,Barnsley,49505.407483021227
1995-01-01,Bath And North East Somerset,68077.51217529249
1995-01-01,Bedford,59415.903082891899
1995-01-01,Bexley,78590.668165614115
1995-01-01,Birmingham,51554.064986577461
1995-01-01,Blackburn With Darwen,49077.583121839511
1995-01-01,Blackpool,48708.599497934105
1995-01-01,Blaenau Gwent,37749.449575383063
1995-01-01,Bolton,51004.116469664092
1995-01-01,Bournemouth,59828.774077273214
1995-01-01,Bracknell Forest,79491.843862394948
1995-01-01,Bradford,55786.356607255075
1995-01-01,Brent,73292.779740786733
1995-01-01,Bridgend,57571.933795820492
1995-01-01,Brighton And Hove,53126.499232825678
1995-01-01,Bromley,90679.697565218579
1995-01-01,Buckinghamshire,87520.163774472283
1995-01-01,Bury,52805.290680873397
1995-01-01,Caerphilly,47437.244640578741
1995-01-01,Calderdale,51992.342857715674
1995-01-01,Cambridgeshire,64376.80305266357
1995-01-01,Camden,120186.97286849532
1995-01-01,Cardiff,57535.42589275026
1995-01-01,Carmarthenshire,46883.512228492793
1995-01-01,Central Bedfordshire,63814.7490357114
1995-01-01,Ceredigion,52097.059385258792
1995-01-01,Cheshire East,64423.738321881057
1995-01-01,Cheshire West And Chester,60090.01463891087
1995-01-01,City Of Bristol,51119.747554854584
1995-01-01,City Of Derby,45901.9956945624
1995-01-01,City Of Kingston Upon Hull,50143.494341783538
1995-01-01,City Of Nottingham,49050.622931624166
1995-01-01,City Of Peterborough,48937.672578329708
1995-01-01,City Of Plymouth,49721.615516684244
1995-01-01,City Of Westminster,148936.59663427295
1995-01-01,Conwy,54924.036254814418
1995-01-01,Cornwall,55302.879489846426
1995-01-01,Coventry,47390.411052697302
1995-01-01,Croydon,82360.497550844259
1995-01-01,Cumbria,52573.806093715815
1995-01-01,Darlington,50703.201355549441
1995-01-01,Denbighshire,55059.920851806506
1995-01-01,Derbyshire,55767.629043718174
1995-01-01,Detached-All,91413.101870258572
1995-01-01,Devon,64143.547911841924
1995-01-01,Doncaster,50104.779639714005
1995-01-01,Dorset,71148.531056151231
1995-01-01,Dudley,61288.273496445676
1995-01-01,Durham,50441.963460586478
1995-01-01,E&W-All,62219.341124331193
1995-01-01,Ealing,87384.758497077259
1995-01-01,East,62042.711880674309
1995-01-01,East Midlands,55578.448723366251
1995-01-01,East Riding Of Yorkshire,60868.610062174368
1995-01-01,East Sussex,61560.944444893925
1995-01-01,Enfield,81479.017424826598
1995-01-01,Essex,66229.162857976116
1995-01-01,Flat-All,58965.170844054031
1995-01-01,Flintshire,56262.269140389391
1995-01-01,Gateshead,46658.54323682707
1995-01-01,Gloucestershire,62355.393201423729
1995-01-01,Greater London,92003.906209340916
1995-01-01,Greater Manchester,51632.761626151609
1995-01-01,Greenwich,74968.782604677966
1995-01-01,Gwynedd,52242.710410830325
1995-01-01,Hackney,75560.297964376383
1995-01-01,Halton,50317.480141019092
1995-01-01,Hammersmith And Fulham,118004.84958374943
1995-01-01,Hampshire,75562.625642052328
1995-01-01,Haringey,81689.163625741654
1995-01-01,Harrow,89017.283570951462
1995-01-01,Hartlepool,59622.675474308322
1995-01-01,Havering,86640.834670744647
1995-01-01,Herefordshire,71229.860704159568
1995-01-01,Hertfordshire,78979.443895675271
1995-01-01,Hillingdon,85355.011230217482
1995-01-01,Hounslow,82287.54635964107
1995-01-01,Isle Of Anglesey,50158.620364728085
1995-01-01,Isle Of Wight,49621.177050581282
1995-01-01,Islington,101068.70214375902
1995-01-01,Kensington And Chelsea,188669.07239004961
1995-01-01,Kent,65415.640924844221
1995-01-01,Kingston Upon Thames,89319.729528337411
1995-01-01,Kirklees,57163.050799091143
1995-01-01,Knowsley,55162.164496431993
1995-01-01,Lambeth,75360.928062593506
1995-01-01,Lancashire,58587.219160675872
1995-01-01,Leeds,57329.570700952681
1995-01-01,Leicester,46458.450723571827
1995-01-01,Leicestershire,61861.92186885485
1995-01-01,Lewisham,74069.450072191612
1995-01-01,Lincolnshire,55783.716126120962
1995-01-01,Liverpool,47204.591749728534
1995-01-01,London,92003.906209340916
1995-01-01,Luton,51094.977242138964
1995-01-01,Manchester,42283.120362852031
1995-01-01,Medway,55875.387626336335
1995-01-01,Merseyside,53827.636325981148
1995-01-01,Merthyr Tydfil,34580.198220873652
1995-01-01,Merton,90578.802159297586
1995-01-01,Middlesbrough,60080.140040837876
1995-01-01,Milton Keynes,57582.455417992693
1995-01-01,Monmouthshire,67838.313134976604
1995-01-01,Neath Port Talbot,43352.237535711211
1995-01-01,Newcastle upon Tyne,52373.503949428668
1995-01-01,Newham,64976.70968411184
1995-01-01,Newport,52057.436050292134
1995-01-01,Norfolk,53313.048352089121
1995-01-01,North East,54572.136776661406
1995-01-01,North East Lincolnshire,52033.405875669378
1995-01-01,North Lincolnshire,54579.570110318629
1995-01-01,North Somerset,62836.350590737966
1995-01-01,North Tyneside,55160.789116643988
1995-01-01,North West,55175.788936053774
1995-01-01,North Yorkshire,67531.807327751667
1995-01-01,Northamptonshire,55843.213413239828
1995-01-01,Northumberland,56299.690852666907
